context,response,dim0,dim1,label
あまり興味がない感じですかね？？ [SEP] いや、そういうわけではないよ。私と同じくらいの年代の人は参加しないのかな？,そうですね。今のところは自分の同期しか誘っていません。,3.05971652,-3.90737479,31
そうですね。今のところは自分の同期しか誘っていません。 [SEP] それなら今回は私が参加しないほうが良いんじゃないかな？,いえ、ぜひ参加していただきたいのです！,5.45051631,-3.67433933,59
いえ、ぜひ参加していただきたいのです！ [SEP] いやー、そうは言ってもねえ…,メンバーと話している中で、先輩を誘いたと声が上がったので、これは総意なんです。。。！,-9.28962956,5.37800715,58
メンバーと話している中で、先輩を誘いたと声が上がったので、これは総意なんです。。。！ [SEP] たまには上司のいないところで飲むというのも楽しいと思うよ。,プライベートでも仲良くしてもらってるので、楽しくなるはずですよ,10.37936123,-1.08180982,51
プライベートでも仲良くしてもらってるので、楽しくなるはずですよ [SEP] それでも、やっぱり上司という立場があるからね…遠慮する人もいると思うよ。,ちなみに、お酒とかの宅配サービスも試しに使ってみるので、気にならないくらい楽しくなると思います！,9.72087331,-0.54193263,13
ちなみに、お酒とかの宅配サービスも試しに使ってみるので、気にならないくらい楽しくなると思います！ [SEP] それは面白そうだね。後で感想を聞かせてほしいな。,当日一緒に感想を共有しませんか？👀,10.97180951,-0.01545587,41
湯川先輩、お疲れ様です！！😀 [SEP] お疲れ様！,今週末、オンライン飲み会を企画しているのですが先輩もどうですか？,-8.63419058,-2.31362819,26
今週末、オンライン飲み会を企画しているのですが先輩もどうですか？ [SEP] すごく楽しそうじゃん,今回はお酒とかおつまみを届けてくれるサービスも使ってみようと思ってるので盛り上がると思います！,-3.53556978,0.55157818,34
今回はお酒とかおつまみを届けてくれるサービスも使ってみようと思ってるので盛り上がると思います！ [SEP] へぇ、それ良さそう！準備の手間も省けそうだしね,ですよね！先輩も参加して一緒に飲みませんか？,-7.68751844,5.280775,41
ですよね！先輩も参加して一緒に飲みませんか？ [SEP] 最近飲んでないし、飲みたいなぁ。。。,それじゃあ、参加ってことで良いですか？,9.01012695,1.25635314,18
それじゃあ、参加ってことで良いですか？ [SEP] 人数とか誰が来るかとかは大体決まってるの？,佐藤、鈴木、高橋、渡辺、小林と自分の6人です！,4.34519553,-3.45832734,14
佐藤、鈴木、高橋、渡辺、小林と自分の6人です！ [SEP] 他には誰か来ないの？,今のところは考えてないですね。あとは先輩に今こうやって声をかけているぐらいです。,1.64945786,0.36695238,32
今のところは考えてないですね。あとは先輩に今こうやって声をかけているぐらいです。 [SEP] じゃあ、清水の同期しかいないってことなんだな？,そうなりますね。,6.75707198,-2.75514755,28
そうなりますね。 [SEP] ちょっとそれは気まずいかなぁ。。。笑,えー、なんでですか？,0.32693973,-8.52984751,25
えー、なんでですか？ [SEP] だってみんな同世代なのに、俺だけ上なんだよ？,まあ、そうですけど…でも、大丈夫ですよ！,3.76130825,-2.1069327,23
まあ、そうですけど…でも、大丈夫ですよ！ [SEP] 何が大丈夫なのよ笑。浮かないか不安だよ,いつも仲良くしてもらってるじゃないですか！心配しすぎですよ！（笑）,-6.26002593,3.56201654,10
いつも仲良くしてもらってるじゃないですか！心配しすぎですよ！（笑） [SEP] そうだけど、なんかお堅い会社の飲み会みたいになりそうでさ。。。,そんなことないですよ！絶対大丈夫です！,-1.11310532,-8.19281514,24
そんなことないですよ！絶対大丈夫です！ [SEP] 絶対的な自信があるんだね笑,あります！先輩が浮くと思ってるならみんな先輩に来てほしいなんて言いませんよ！,2.86321099,-0.41890364,50
あります！先輩が浮くと思ってるならみんな先輩に来てほしいなんて言いませんよ！ [SEP] ありがたいことだけど、たまには同期の絆を感じた方がいいんだよ？,今回は先輩も交えて楽しく飲みたいね～ってみんなで話してたんですけど…,4.61364321,-1.2256478,15
今回は先輩も交えて楽しく飲みたいね～ってみんなで話してたんですけど… [SEP] まーでも今回は遠慮して、同期だけの楽しんだ様子を後から聞こうかなー,そこは後輩たちの要望を受け入れてくださいよ～,-5.55870386,6.22826396,39
そこは後輩たちの要望を受け入れてくださいよ～ [SEP] 受けたいけども、今回はね。みんなのために身を引くよ,いやいや、先輩のお話も色々聞きたいんです！楽しくお話ししましょうよ～,4.17122284,-0.32137111,22
いやいや、先輩のお話も色々聞きたいんです！楽しくお話ししましょうよ～ [SEP] 今度ランチとかで楽しく話してあげるからさー,飲み会の席だからこそ色々話せるんじゃないですか～,-0.52540214,0.65444982,35
飲み会の席だからこそ色々話せるんじゃないですか～ [SEP] 飲み会だと上司としての体裁を守れなくなっちゃうじゃない,だからいいんじゃないですか～。上司としてじゃなくて湯川さんとして参加してほしいんですよ。,-9.04243009,6.96279528,50
だからいいんじゃないですか～。上司としてじゃなくて湯川さんとして参加してほしいんですよ。 [SEP] プライベートじゃなくたって、会社の飲み会で一緒に飲めるしさー,親睦をさらに深めたいんです！お願いします！,9.92271363,-0.84045062,13
